Class ID,Preferred Label,File extension
http://edamontology.org/data_1418,Sequence-profile alignment (HMM),
http://edamontology.org/data_1420,Sequence-profile alignment (fingerprint),
http://edamontology.org/data_1426,Phylogenetic continuous quantitative data,
http://edamontology.org/data_1427,Phylogenetic discrete data,
http://edamontology.org/data_1428,Phylogenetic character cliques,
http://edamontology.org/data_1429,Phylogenetic invariants,
http://edamontology.org/data_1438,Phylogenetic report,
http://edamontology.org/data_1439,DNA substitution model,
http://edamontology.org/data_1440,Phylogenetic tree report (tree shape),
http://edamontology.org/data_1441,Phylogenetic tree report (tree evaluation),
http://edamontology.org/data_1442,Phylogenetic tree distances,
http://edamontology.org/data_1443,Phylogenetic tree report (tree stratigraphic),
http://edamontology.org/data_1444,Phylogenetic character contrasts,
http://edamontology.org/data_1446,Comparison matrix (integers),
http://edamontology.org/data_1447,Comparison matrix (floats),
http://edamontology.org/data_1448,Comparison matrix (nucleotide),
http://edamontology.org/data_1449,Comparison matrix (amino acid),
http://edamontology.org/data_1450,Nucleotide comparison matrix (integers),
http://edamontology.org/data_1451,Nucleotide comparison matrix (floats),
http://edamontology.org/data_1452,Amino acid comparison matrix (integers),
http://edamontology.org/data_1453,Amino acid comparison matrix (floats),
http://edamontology.org/data_1459,Nucleic acid structure,
http://edamontology.org/data_1460,Protein structure,
http://edamontology.org/data_1461,Protein-ligand complex,
http://edamontology.org/data_1462,Carbohydrate structure,
http://edamontology.org/data_1463,Small molecule structure,
http://edamontology.org/data_1464,DNA structure,
http://edamontology.org/data_1465,RNA structure,
http://edamontology.org/data_1466,tRNA structure,
http://edamontology.org/data_1467,Protein chain,
http://edamontology.org/data_1468,Protein domain,
http://edamontology.org/data_1469,Protein structure (all atoms),
http://edamontology.org/data_1470,C-alpha trace,
http://edamontology.org/data_1471,Protein chain (all atoms),
http://edamontology.org/data_1472,Protein chain (C-alpha atoms),
http://edamontology.org/data_1473,Protein domain (all atoms),
http://edamontology.org/data_1474,Protein domain (C-alpha atoms),
http://edamontology.org/data_1479,Structure alignment (pair),
http://edamontology.org/data_1480,Structure alignment (multiple),
http://edamontology.org/data_1481,Protein structure alignment,
http://edamontology.org/data_1482,Nucleic acid structure alignment,
http://edamontology.org/data_1483,Structure alignment (protein pair),
http://edamontology.org/data_1484,Multiple protein tertiary structure alignment,
http://edamontology.org/data_1485,Structure alignment (protein all atoms),
http://edamontology.org/data_1486,Structure alignment (protein C-alpha atoms),
http://edamontology.org/data_1487,Pairwise protein tertiary structure alignment (all atoms),
http://edamontology.org/data_1488,Pairwise protein tertiary structure alignment (C-alpha atoms),
http://edamontology.org/data_1489,Multiple protein tertiary structure alignment (all atoms),
http://edamontology.org/data_1490,Multiple protein tertiary structure alignment (C-alpha atoms),
http://edamontology.org/data_1491,Structure alignment (nucleic acid pair),
http://edamontology.org/data_1492,Multiple nucleic acid tertiary structure alignment,
http://edamontology.org/data_1493,RNA structure alignment,
http://edamontology.org/data_1494,Structural transformation matrix,
http://edamontology.org/data_1495,DaliLite hit table,
http://edamontology.org/data_1496,Molecular similarity score,
http://edamontology.org/data_1497,Root-mean-square deviation,
http://edamontology.org/data_1498,Tanimoto similarity score,
http://edamontology.org/data_1499,3D-1D scoring matrix,
http://edamontology.org/data_1501,Amino acid index,
http://edamontology.org/data_1502,Amino acid index (chemical classes),
http://edamontology.org/data_1503,Amino acid pair-wise contact potentials,
http://edamontology.org/data_1505,Amino acid index (molecular weight),
http://edamontology.org/data_1506,Amino acid index (hydropathy),
http://edamontology.org/data_1507,Amino acid index (White-Wimley data),
http://edamontology.org/data_1508,Amino acid index (van der Waals radii),
http://edamontology.org/data_1509,Enzyme report,
http://edamontology.org/data_1517,Restriction enzyme report,
http://edamontology.org/data_1519,Peptide molecular weights,
http://edamontology.org/data_1520,Peptide hydrophobic moment,
http://edamontology.org/data_1521,Protein aliphatic index,
http://edamontology.org/data_1522,Protein sequence hydropathy plot,
http://edamontology.org/data_1523,Protein charge plot,
http://edamontology.org/data_1524,Protein solubility,
http://edamontology.org/data_1525,Protein crystallizability,
http://edamontology.org/data_1526,Protein globularity,
http://edamontology.org/data_1527,Protein titration curve,
http://edamontology.org/data_1528,Protein isoelectric point,
http://edamontology.org/data_1529,Protein pKa value,
http://edamontology.org/data_1530,Protein hydrogen exchange rate,
http://edamontology.org/data_1531,Protein extinction coefficient,
http://edamontology.org/data_1532,Protein optical density,
